allegiance,death_no,episode,killer,killers_house,location,method,name,season
House Lannister,1187,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1188,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1189,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1190,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1191,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1192,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1193,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1194,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1195,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1196,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1197,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1198,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1199,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1200,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1201,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1202,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1203,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1204,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1205,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1206,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1207,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1208,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1209,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1210,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1211,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1212,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1213,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1214,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1215,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1216,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1217,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1218,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1219,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1220,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1221,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1222,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1223,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1224,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1225,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1226,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1227,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1228,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1229,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1230,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1231,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1232,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1233,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1234,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1235,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1236,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1237,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1238,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1239,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1240,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1241,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1242,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1243,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1244,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1245,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1246,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1247,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1248,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1249,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1250,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1251,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1252,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1253,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1254,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1255,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1256,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1257,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1258,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1259,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1260,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1261,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1262,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1263,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1264,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1265,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1266,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1267,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1268,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1269,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1270,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1271,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1272,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1273,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1274,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1275,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1276,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1277,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1278,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1279,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1280,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1281,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1282,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1283,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1284,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1285,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1286,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1287,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1288,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1289,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1290,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1291,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1304,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1305,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1306,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1307,4,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Lannister soldier,7
House Lannister,1303,4,Dothraki man,House Targaryen,Roseroad,Spear,Lannister soldier,7
House Lannister,1312,5,Gendry,House Stark,King's Landing,Hammer,Lannister soldier,7
House Lannister,1313,5,Gendry,House Stark,King's Landing,Hammer,Lannister soldier,7
House Lannister,1311,5,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Dickon Tarly,7
House Lannister,1310,5,Daenerys Targaryen,House Targaryen,Roseroad,Dragonfire (Dragon),Randyll Tarly,7
White Walkers,1316,6,Jorah Mormont,House Targaryen,Beyond the Wall,Knife,Undead Polar Bear,7
Brotherhood Without Banners,1318,6,Undead Polar Bear,White Walkers,Beyond the Wall,Claws,Thoros,7
Free Folk,1317,6,Wight,White Walkers,Beyond the Wall,Drowning,Wildling,7
Free Folk,1319,6,Wight,White Walkers,Beyond the Wall,Teeth,Wildling,7
House Stark,1322,6,Wight,White Walkers,Beyond the Wall,Claws,Benjen Stark,7
House Stark,1320,6,Wight,White Walkers,Beyond the Wall,Claws,Stark Soldier,7
House Stark,1314,6,Undead Polar Bear,White Walkers,Beyond the Wall,Teeth,Stark Soldier,7
House Stark,1315,6,Undead Polar Bear,White Walkers,Beyond the Wall,Teeth,Stark Soldier,7
House Targaryen,1321,6,Night King,White Walkers,Beyond the Wall,Ice Javelin,Viserion,7
House Greyjoy,1323,7,Theon Greyjoy,House Greyjoy,Dragonstone,Rock,Greyjoy Soldier,7
House Baelish,1324,7,Arya Stark,House Stark,Winterfell,Knife,Petyr Baelish,7
Night's Watch,1325,7,Viserion,White Walkers,The Wall,Falling,Night's Watch brother,7
Night's Watch,1326,7,Viserion,White Walkers,The Wall,Falling,Night's Watch brother,7
Night's Watch,1327,7,Viserion,White Walkers,The Wall,Falling,Night's Watch brother,7
Night's Watch,1328,7,Viserion,White Walkers,The Wall,Falling,Night's Watch brother,7
Night's Watch,1329,7,Viserion,White Walkers,The Wall,Falling,Night's Watch brother,7
Night's Watch,1330,7,Viserion,White Walkers,The Wall,Falling,Night's Watch brother,7
Night's Watch,1331,7,Viserion,White Walkers,The Wall,Falling,Night's Watch brother,7
Night's Watch,1332,7,Viserion,White Walkers,The Wall,Falling,Night's Watch brother,7
House Greyjoy,1333,1,Theon Greyjoy,House Greyjoy,The Narrow Sea,Arrow,Greyjoy Soldier,8
House Greyjoy,1334,1,Theon Greyjoy,House Greyjoy,The Narrow Sea,Arrow,Greyjoy Soldier,8
House Greyjoy,1335,1,Theon Greyjoy,House Greyjoy,The Narrow Sea,Arrow,Greyjoy Soldier,8
House Greyjoy,1336,1,Theon Greyjoy,House Greyjoy,The Narrow Sea,Arrow,Greyjoy Soldier,8
House Greyjoy,1337,1,Theon Greyjoy,House Greyjoy,The Narrow Sea,Arrow,Greyjoy Soldier,8
House Greyjoy,1338,1,Theon Greyjoy,House Greyjoy,The Narrow Sea,Axe,Greyjoy Soldier,8
House Umber,1339,2,Night King,White Walkers,Last Hearth,Steak,Ned Umber,8
White Walkers,1368,3,Lyanna Mormont,House Mormont,Winterfell,Knife,Giant Wight,8
White Walkers,1373,3,Arya Stark,House Stark,Winterfell,Knife,Night King,8
Lord of Light,1374,3,"Melisandre ""the Red Woman"" of Asshai",Lord of Light,Winterfell,Old Age,"Melisandre ""the Red Woman"" of Asshai",8
Brotherhood Without Banners,1369,3,Wight,White Walkers,Winterfell,Knife,Beric Dondarrion,8
House Mormont,1360,3,Giant Wight,White Walkers,Winterfell,Club,Mormont Soldier,8
House Mormont,1361,3,Giant Wight,White Walkers,Winterfell,Club,Mormont Soldier,8
House Mormont,1362,3,Giant Wight,White Walkers,Winterfell,Club,Mormont Soldier,8
House Mormont,1363,3,Giant Wight,White Walkers,Winterfell,Club,Mormont Soldier,8
House Mormont,1364,3,Giant Wight,White Walkers,Winterfell,Club,Mormont Soldier,8
House Mormont,1365,3,Giant Wight,White Walkers,Winterfell,Club,Mormont Soldier,8
House Mormont,1366,3,Giant Wight,White Walkers,Winterfell,Club,Mormont Soldier,8
House Mormont,1367,3,Giant Wight,White Walkers,Winterfell,Hands,Lyanna Mormont,8
House Stark,1343,3,Wight,White Walkers,Winterfell,Sword,Stark Soldier,8
House Stark,1354,3,Wight,White Walkers,Winterfell,Sword,Stark Soldier,8
House Stark,1355,3,Wight,White Walkers,Winterfell,Sword,Stark Soldier,8
House Stark,1356,3,Wight,White Walkers,Winterfell,Sword,Stark Soldier,8
House Stark,1357,3,Wight,White Walkers,Winterfell,Sword,Stark Soldier,8
House Stark,1358,3,Wight,White Walkers,Winterfell,Sword,Stark Soldier,8
House Stark,1344,3,Wight,White Walkers,Winterfell,Teeth,Stark Soldier,8
House Targaryen,1342,3,Wight,White Walkers,Winterfell,Knife,Unsullied,8
House Targaryen,1372,3,Wight,White Walkers,Winterfell,Sword,Jorah Mormont,8
House Targaryen,1340,3,Wight,White Walkers,Winterfell,Sword,Unsullied,8
House Targaryen,1341,3,Wight,White Walkers,Winterfell,Sword,Unsullied,8
House Targaryen,1346,3,Wight,White Walkers,Winterfell,Sword,Unsullied,8
House Targaryen,1347,3,Wight,White Walkers,Winterfell,Sword,Unsullied,8
House Targaryen,1348,3,Wight,White Walkers,Winterfell,Sword,Unsullied,8
House Targaryen,1349,3,Wight,White Walkers,Winterfell,Sword,Unsullied,8
Night's Watch,1359,3,Wight,White Walkers,Winterfell,Knife,Night's Watch brother,8
Night's Watch,1345,3,Wight,White Walkers,Winterfell,Sword,Eddison Tollett,8
Night's Watch,1351,3,Wight,White Walkers,Winterfell,Sword,Night's Watch brother,8
Night's Watch,1353,3,Wight,White Walkers,Winterfell,Sword,Night's Watch brother,8
Night's Watch,1350,3,Wight,White Walkers,Winterfell,Teeth,Night's Watch brother,8
Night's Watch,1352,3,Wight,White Walkers,Winterfell,Teeth,Night's Watch brother,8
Smallfolk,1370,3,Wight,White Walkers,Winterfell,Teeth,Peasant,8
Smallfolk,1371,3,Wight,White Walkers,Winterfell,Teeth,Peasant,8
House Targaryen,1375,4,Euron Greyjoy,House Greyjoy,Dragonstone,Giant arrow,Rhaegal,8
House Targaryen,1376,4,Greyjoy Soldier,House Greyjoy,Dragonstone,Giant arrow,Unsullied,8
House Targaryen,1377,4,Greyjoy Soldier,House Greyjoy,Dragonstone,Giant arrow,Unsullied,8
House Targaryen,1378,4,Greyjoy Soldier,House Greyjoy,Dragonstone,Giant arrow,Unsullied,8
House Targaryen,1379,4,"Gregor ""the Mountain"" Clegane",House Lannister,King's Landing,Sword,Missandei,8
House Lannister,2220,5,"Sandor ""the Hound"" Clegane",House Clegane,King's Landing,Dragonfire (Dragon),"Gregor ""the Mountain"" Clegane",8
House Lannister,2221,5,"Sandor ""the Hound"" Clegane",House Clegane,King's Landing,Dragonfire (Dragon),"Sandor ""the Hound"" Clegane",8
House Lannister,2215,5,"Sandor ""the Hound"" Clegane",House Clegane,King's Landing,Sword,Lannister soldier,8
House Lannister,2216,5,"Sandor ""the Hound"" Clegane",House Clegane,King's Landing,Sword,Lannister soldier,8
House Lannister,2217,5,"Sandor ""the Hound"" Clegane",House Clegane,King's Landing,Sword,Lannister soldier,8
House Lannister,2218,5,"Sandor ""the Hound"" Clegane",House Clegane,King's Landing,Sword,Lannister soldier,8
House Greyjoy,2214,5,Jaime Lannister,House Lannister,King's Landing,Sword,Euron Greyjoy,8
House Lannister,2219,5,"Gregor ""the Mountain"" Clegane",House Lannister,King's Landing,Hands,Qyburn,8
House Lannister,2033,5,Stark Soldier,House Stark,King's Landing,Axe,Lannister soldier,8
House Lannister,2038,5,Stark Soldier,House Stark,King's Landing,Axe,Lannister soldier,8
House Lannister,2039,5,Stark Soldier,House Stark,King's Landing,Axe,Lannister soldier,8
House Lannister,2049,5,Stark Soldier,House Stark,King's Landing,Axe,Lannister soldier,8
House Lannister,2035,5,Jon Snow,House Stark,King's Landing,Sword,Lannister soldier,8
House Lannister,2036,5,Jon Snow,House Stark,King's Landing,Sword,Lannister soldier,8
House Lannister,2037,5,Jon Snow,House Stark,King's Landing,Sword,Lannister soldier,8
House Lannister,2141,5,Jon Snow,House Stark,King's Landing,Sword,Lannister soldier,8
House Lannister,2142,5,Jon Snow,House Stark,King's Landing,Sword,Lannister soldier,8
House Lannister,2211,5,Jon Snow,House Stark,King's Landing,Sword,Lannister soldier,8
House Lannister,2212,5,Jon Snow,House Stark,King's Landing,Sword,Lannister soldier,8
House Lannister,1799,5,Stark Soldier,House Stark,King's Landing,Sword,Lannister soldier,8
House Lannister,1800,5,Stark Soldier,House Stark,King's Landing,Sword,Lannister soldier,8
House Lannister,1801,5,Stark Soldier,House Stark,King's Landing,Sword,Lannister soldier,8
House Lannister,1802,5,Stark Soldier,House Stark,King's Landing,Sword,Lannister soldier,8
House Lannister,1803,5,Stark Soldier,House Stark,King's Landing,Sword,Lannister soldier,8
House Lannister,1804,5,Stark Soldier,House Stark,King's Landing,Sword,Lannister soldier,8
House Lannister,1805,5,Stark Soldier,House Stark,King's Landing,Sword,Lannister soldier,8
House Lannister,2032,5,Stark Soldier,House Stark,King's Landing,Sword,Lannister soldier,8
House Lannister,2046,5,Stark Soldier,House Stark,King's Landing,Sword,Lannister soldier,8
House Lannister,2047,5,Stark Soldier,House Stark,King's Landing,Sword,Lannister soldier,8
House Lannister,2048,5,Stark Soldier,House Stark,King's Landing,Sword,Lannister soldier,8
House Lannister,2143,5,Stark Soldier,House Stark,King's Landing,Sword,Lannister soldier,8
House Lannister,2144,5,Stark Soldier,House Stark,King's Landing,Sword,Lannister soldier,8
House Stark,2213,5,Jon Snow,House Stark,King's Landing,Sword,Stark Soldier,8
None,2145,5,Stark Soldier,House Stark,King's Landing,Sword,King's Landing Citizen,8
None,2146,5,Stark Soldier,House Stark,King's Landing,Sword,King's Landing Citizen,8
None,2147,5,Stark Soldier,House Stark,King's Landing,Sword,King's Landing Citizen,8
None,2148,5,Stark Soldier,House Stark,King's Landing,Sword,King's Landing Citizen,8
None,2149,5,Stark Soldier,House Stark,King's Landing,Sword,King's Landing Citizen,8
None,2150,5,Stark Soldier,House Stark,King's Landing,Sword,King's Landing Citizen,8
House Greyjoy,1381,5,Daenerys Targaryen,House Targaryen,King's Landing,Dragonfire (Dragon),Greyjoy Soldier,8
House Greyjoy,1382,5,Daenerys Targaryen,House Targaryen,King's Landing,Dragonfire (Dragon),Greyjoy Soldier,8
House Lannister,1781,5,Dothraki man,House Targaryen,King's Landing,Arakh,Lannister soldier,8
House Lannister,1782,5,Dothraki man,House Targaryen,King's Landing,Arakh,Lannister soldier,8
House Lannister,1783,5,Dothraki man,House Targaryen,King's Landing,Arakh,Lannister soldier,8
House Lannister,1784,5,Dothraki man,House Targaryen,King's Landing,Arakh,Lannister soldier,8
House Lannister,1785,5,Dothraki man,House Targaryen,King's Landing,Arakh,Lannister soldier,8
House Lannister,1786,5,Dothraki man,House Targaryen,King's Landing,Arakh,Lannister soldier,8
House Lannister,1787,5,Dothraki man,House Targaryen,King's Landing,Arakh,Lannister soldier,8
House Lannister,1788,5,Dothraki man,House Targaryen,King's Landing,Arakh,Lannister soldier,8
House Lannister,1789,5,Dothraki man,House Targaryen,King's Landing,Arakh,Lannister soldier,8
House Lannister,1790,5,Dothraki man,House Targaryen,King's Landing,Arakh,Lannister soldier,8
House Lannister,1791,5,Dothraki man,House Targaryen,King's Landing,Arakh,Lannister soldier,8
House Lannister,1792,5,Dothraki man,House Targaryen,King's Landing,Arakh,Lannister soldier,8
House Lannister,1793,5,Dothraki man,House Targaryen,King's Landing,Arakh,Lannister soldier,8
House Lannister,1794,5,Dothraki man,House Targaryen,King's Landing,Arakh,Lannister soldier,8
House Lannister,1795,5,Dothraki man,House Targaryen,King's Landing,Arakh,Lannister soldier,8
House Lannister,1796,5,Dothraki man,House Targaryen,King's Landing,Arakh,Lannister soldier,8
House Lannister,1797,5,Dothraki man,House Targaryen,King's Landing,Arakh,Lannister soldier,8
House Lannister,1798,5,Dothraki man,House Targaryen,King's Landing,Arakh,Lannister soldier,8
House Lannister,1774,5,Daenerys Targaryen,House Targaryen,King's Landing,Dragonfire (Dragon),Golden Company horse,8
House Lannister,1405,5,Daenerys Targaryen,House Targaryen,King's Landing,Dragonfire (Dragon),Golden Company soldier,8
House Lannister,1406,5,Daenerys Targaryen,House Targaryen,King's Landing,Dragonfire (Dragon),Golden Company soldier,8
House Lannister,1407,5,Daenerys Targaryen,House Targaryen,King's Landing,Dragonfire (Dragon),Golden Company soldier,8
House Lannister,1408,5,Daenerys Targaryen,House Targaryen,King's Landing,Dragonfire (Dragon),Golden Company soldier,8
House Lannister,1409,5,Daenerys Targaryen,House Targaryen,King's Landing,Dragonfire (Dragon),Golden Company soldier,8
House Lannister,1410,5,Daenerys Targaryen,House Targaryen,King's Landing,Dragonfire (Dragon),Golden Company soldier,8
House Lannister,1411,5,Daenerys Targaryen,House Targaryen,King's Landing,Dragonfire (Dragon),Golden Company soldier,8
House Lannister,1412,5,Daenerys Targaryen,House Targaryen,King's Landing,Dragonfire (Dragon),Golden Company soldier,8
House Lannister,1413,5,Daenerys Targaryen,House Targaryen,King's Landing,Dragonfire (Dragon),Golden Company soldier,8
House Lannister,1414,5,Daenerys Targaryen,House Targaryen,King's Landing,Dragonfire (Dragon),Golden Company soldier,8
House Lannister,1415,5,Daenerys Targaryen,House Targaryen,King's Landing,Dragonfire (Dragon),Golden Company soldier,8
House Lannister,1416,5,Daenerys Targaryen,House Targaryen,King's Landing,Dragonfire (Dragon),Golden Company soldier,8
House Lannister,1417,5,Daenerys Targaryen,House Targaryen,King's Landing,Dragonfire (Dragon),Golden Company soldier,8
House Lannister,1418,5,Daenerys Targaryen,House Targaryen,King's Landing,Dragonfire (Dragon),Golden Company soldier,8
House Lannister,1419,5,Daenerys Targaryen,House Targaryen,King's Landing,Dragonfire (Dragon),Golden Company soldier,8
House Lannister,1420,5,Daenerys Targaryen,House Targaryen,King's Landing,Dragonfire (Dragon),Golden Company soldier,8
House Lannister,1421,5,Daenerys Targaryen,House Targaryen,King's Landing,Dragonfire (Dragon),Golden Company soldier,8
House Lannister,1422,5,Daenerys Targaryen,House Targaryen,King's Landing,Dragonfire (Dragon),Golden Company soldier,8
House Lannister,1423,5,Daenerys Targaryen,House Targaryen,King's Landing,Dragonfire (Dragon),Golden Company soldier,8
House Lannister,1424,5,Daenerys Targaryen,House Targaryen,King's Landing,Dragonfire (Dragon),Golden Company soldier,8
House Lannister,1425,5,Daenerys Targaryen,House Targaryen,King's Landing,Dragonfire (Dragon),Golden Company soldier,8
House Lannister,1426,5,Daenerys Targaryen,House Targaryen,King's Landing,Dragonfire (Dragon),Golden Company soldier,8
House Lannister,1427,5,Daenerys Targaryen,House Targaryen,King's Landing,Dragonfire (Dragon),Golden Company soldier,8
House Lannister,1428,5,Daenerys Targaryen,House Targaryen,King's Landing,Dragonfire (Dragon),Golden Company soldier,8
House Lannister,1429,5,Daenerys Targaryen,House Targaryen,King's Landing,Dragonfire (Dragon),Golden Company soldier,8
House Lannister,1430,5,Daenerys Targaryen,House Targaryen,King's Landing,Dragonfire (Dragon),Golden Company soldier,8
House Lannister,1431,5,Daenerys Targaryen,House Targaryen,King's Landing,Dragonfire (Dragon),Golden Company soldier,8
House Lannister,1432,5,Daenerys Targaryen,House Targaryen,King's Landing,Dragonfire (Dragon),Golden Company soldier,8
